,marca,subtipo,tamaño,precio,pack,descuento,precio_final
110,Patagonia,24.7,710,227.25,1,1.0,227.2
111,Patagonia,Bohemian Pilsener,730,227.25,1,1.0,227.2
112,Patagonia,Hoppy Lager,730,227.25,1,1.0,227.2
113,Patagonia,Other,730,227.25,1,1.0,227.2
114,Patagonia,Other,473,1029.75,6,1.0,171.6
115,Heineken,,473,178.0,1,1.0,178.0
116,Heineken,,710,255.0,1,1.0,255.0
117,Andes,Rubia,473,661.5,6,1.0,110.2
118,Imperial,Rubia,710,205.95,1,1.0,206.0
119,Imperial,Other,473,120.18,1,1.0,120.2
120,Imperial,Other,1000,234.55,1,1.0,234.6
121,Corona,,710,287.0,1,1.0,287.0
122,Andes,Ipa,473,755.25,6,1.0,125.9
123,Budweiser,,710,150.0,1,1.0,150.0
124,Imperial,Rubia,1000,297.45,1,1.0,297.4
125,other,other,1000,120.4,1,1.0,120.4
126,Andes,Rubia,1000,177.75,1,1.0,177.8
127,other,other,473,119.8,1,1.0,119.8
128,other,other,473,110.48,1,1.0,110.5
129,Imperial,Other,473,171.6,1,1.0,171.6
130,other,other,1000,184.3,1,1.0,184.3
131,Andes,Ipa,1000,203.25,1,1.0,203.2
132,Imperial,Other,473,200.2,1,1.0,200.2
133,Schneider,,710,167.0,1,1.0,167.0
134,other,other,2000,233.06,1,1.0,233.1
135,Imperial,Rubia,1000,234.55,1,1.0,234.6
136,other,other,473,232.0,1,1.0,232.0
137,Budweiser,,1000,544.5,6,1.0,90.8
138,other,other,710,299.0,1,1.0,299.0
139,other,other,710,299.0,1,1.0,299.0
140,other,other,473,113.7,1,1.0,113.7
141,Corona,,269,1460.0,10,1.0,146.0
142,other,other,1000,183.68,1,1.0,183.7
143,Brahma,Clásica,1000,151.03,1,1.0,151.0
144,Quilmes,Clásica,473,87.0,1,1.0,87.0
145,Stella Artois,,269,831.0,6,1.0,138.5
146,other,other,473,253.26,1,1.0,253.3
147,other,other,1000,163.25,1,1.0,163.2
148,other,other,473,166.87,1,1.0,166.9
149,Imperial,Other,473,148.75,1,1.0,148.8
150,Heineken,,330,140.39,1,1.0,140.4
151,Quilmes,Clásica,1000,122.0,1,1.0,122.0
152,other,other,473,123.22,1,1.0,123.2
153,Brahma,Clásica,473,120.0,1,1.0,120.0
154,Brahma,Clásica,710,247.0,1,1.0,247.0
155,other,other,473,166.87,1,1.0,166.9
156,Schneider,,473,98.0,1,1.0,98.0
157,other,other,1000,986.0,6,1.0,164.3
158,other,other,473,166.87,1,1.0,166.9
159,Quilmes,Clásica,473,87.0,1,1.0,87.0
160,Quilmes,Clásica,1000,122.0,1,1.0,122.0
161,Quilmes,Red Lager,473,665.0,6,1.0,110.8
162,Quilmes,Bock,1000,167.0,1,1.0,167.0
163,Quilmes,Red Lager,473,138.0,1,1.0,138.0
164,Stella Artois,,269,831.0,6,1.0,138.5
165,Stella Artois,,330,103.5,1,1.0,103.5
166,Stella Artois,,other,222.0,1,1.0,222.0
167,h2o,Other,2250,1288.55,1,1.0,1288.6
168,h2o,Limoneto,500,60.0,1,1.0,60.0
169,h2o,Citrus,500,60.0,1,1.0,60.0
170,other,other,269,481.0,6,1.0,80.2
171,other,other,other,396.0,1,1.0,396.0
172,other,other,other,932.0,1,1.0,932.0
173,other,other,220,1276.0,6,1.0,212.7
174,other,other,2000,545.0,1,1.0,545.0
175,other,other,2000,949.0,1,1.0,949.0
176,other,other,other,267.0,1,1.0,267.0
177,other,other,220,179.0,6,1.0,29.8
178,other,other,1000,529.0,1,1.0,529.0
179,other,other,1000,669.0,1,1.0,669.0
180,other,other,other,190.0,1,1.0,190.0
181,other,other,2000,749.25,1,1.0,749.2
182,other,other,other,68.0,1,1.0,68.0
183,other,other,2000,25999.0,6,1.0,4333.2
184,other,other,2000,43999.0,1,1.0,43999.0
185,other,other,3000,29999.0,6,1.0,4999.8
186,other,other,2000,43999.0,1,1.0,43999.0
187,other,other,2000,209.0,6,1.0,34.8
188,other,other,other,559.0,1,1.0,559.0
189,other,other,2000,1212.72,1,1.0,1212.7
190,other,other,3000,73999.0,6,1.0,12333.2
191,other,other,2000,379.0,1,1.0,379.0
192,other,other,1000,239.0,1,1.0,239.0
193,other,other,1000,24599.0,1,1.0,24599.0
194,other,other,2000,359.0,1,1.0,359.0
195,other,other,2000,219.0,6,1.0,36.5
196,other,other,2000,2299.0,6,1.0,383.2
197,other,other,other,829.0,1,1.0,829.0
198,other,other,1000,189.0,1,1.0,189.0
199,other,other,other,990.0,1,1.0,990.0
200,other,other,2000,635.0,1,0.5,317.5
201,other,other,2000,574.0,1,0.5,287.0
202,other,other,2000,1289.0,1,0.5,644.5
203,other,other,500,352.0,1,1.0,352.0
204,other,other,2000,309.0,1,1.0,309.0
205,other,other,2000,309.0,1,1.0,309.0
206,other,other,other,1599.0,6,1.0,266.5
207,other,other,other,1499.0,6,1.0,249.8
208,other,other,other,784.0,6,1.0,130.7
209,other,other,other,279.0,1,1.0,279.0
210,other,other,2000,66999.0,1,1.0,66999.0
211,other,other,1000,399.0,6,1.0,66.5
212,other,other,2000,359.0,1,1.0,359.0
213,other,other,2000,618.0,1,0.5,309.0
214,other,other,2000,649.0,1,0.5,324.5
215,other,other,2000,179.0,1,1.0,179.0
216,other,other,2000,1399.0,6,1.0,233.2
217,Paso De Los Toros,Pomelo,1500,163.0,1,1.0,163.0
218,other,other,220,103.2,1,1.0,103.2
219,other,other,1000,114.0,1,1.0,114.0
220,other,other,500,124.5,1,1.0,124.5
221,other,other,500,94.5,1,1.0,94.5
222,other,other,1000,189.0,1,1.0,189.0
223,other,other,1000,99.0,1,1.0,99.0
224,other,other,1000,109.0,1,1.0,109.0
225,other,other,500,129.0,1,1.0,129.0
226,other,other,500,104.5,1,1.0,104.5
227,other,other,500,109.0,1,1.0,109.0
228,other,other,500,149.5,1,1.0,149.5
229,other,other,1000,339.0,1,1.0,339.0
230,other,other,1000,299.0,1,1.0,299.0
231,other,other,1000,199.0,1,1.0,199.0
232,other,other,1000,199.0,1,1.0,199.0
233,other,other,1000,349.0,1,1.0,349.0
234,other,other,other,148.0,1,1.0,148.0
235,other,other,1000,349.0,1,1.0,349.0
236,other,other,other,148.0,1,1.0,148.0
237,other,other,1500,92.1,1,1.0,92.1
238,other,other,1500,92.1,1,1.0,92.1
239,other,other,1500,92.1,1,1.0,92.1
240,other,other,750,208.0,1,1.0,208.0
241,other,other,750,1236.0,1,1.0,1236.0
242,other,other,750,678.0,1,1.0,678.0
243,other,other,other,157.57,1,1.0,157.6
244,other,other,250,92.0,1,1.0,92.0
245,other,other,other,227.0,1,1.0,227.0
246,other,other,1000,78.0,1,1.0,78.0
247,other,other,500,173.91,1,1.0,173.9
248,other,other,2000,146.63,1,1.0,146.6
249,other,other,2000,24.5,1,0.75,18.4
250,other,other,1000,99.0,1,1.0,99.0
251,other,other,1000,413.01,1,1.0,413.0
252,other,other,1000,99.58,1,1.0,99.6
253,other,other,1000,69.91,1,1.0,69.9
254,other,other,3000,155.0,1,1.0,155.0
255,other,other,other,146.54,1,1.0,146.5
256,other,other,other,136.1,1,1.0,136.1
257,other,other,1000,413.01,1,1.0,413.0
