,marca,subtipo,tamaño,precio,pack,descuento,precio_final
377,Imperial,Rubia,710,205.95,1,1.0,206.0
378,Imperial,Other,473,120.08,1,1.0,120.1
379,Imperial,Other,1000,234.55,1,1.0,234.6
380,Corona,,710,287.0,1,1.0,287.0
381,Budweiser,,710,150.0,1,1.0,150.0
382,Patagonia,24.7,710,227.25,1,1.0,227.2
383,Imperial,Rubia,1000,297.45,1,1.0,297.4
384,Imperial,Other,473,200.2,1,1.0,200.2
385,Patagonia,Bohemian Pilsener,730,227.25,1,1.0,227.2
386,Patagonia,Hoppy Lager,730,227.25,1,1.0,227.2
387,other,other,473,119.8,1,1.0,119.8
388,other,other,473,110.48,1,1.0,110.5
389,Imperial,Other,473,171.6,1,1.0,171.6
390,Corona,,330,166.0,1,1.0,166.0
391,other,other,1000,184.3,1,1.0,184.3
392,Quilmes,Stout,3000,52.4,1,1.0,52.4
393,other,other,500,89.0,1,1.0,89.0
394,Imperial,Other,473,200.2,1,1.0,200.2
395,Schneider,,710,169.0,1,1.0,169.0
396,other,other,2000,233.06,1,1.0,233.1
397,Imperial,Rubia,1000,234.55,1,1.0,234.6
398,other,other,473,232.0,1,1.0,232.0
399,Budweiser,,1000,544.5,6,1.0,90.8
400,other,other,710,300.0,1,1.0,300.0
401,other,other,710,264.0,1,1.0,264.0
402,Patagonia,Amber Lager,473,172.5,1,1.0,172.5
403,other,other,473,113.7,1,1.0,113.7
404,Corona,,269,1460.0,10,1.0,146.0
405,Stella Artois,,269,831.0,6,1.0,138.5
406,Stella Artois,,710,256.5,1,1.0,256.5
407,Quilmes,Clásica,3000,46.32,1,1.0,46.3
408,other,other,473,253.26,1,1.0,253.3
409,other,other,1000,163.25,1,1.0,163.2
410,Imperial,Other,473,148.75,1,1.0,148.8
411,other,other,473,166.87,1,1.0,166.9
412,Brahma,Clásica,473,116.0,1,1.0,116.0
413,Brahma,Clásica,710,220.0,1,1.0,220.0
414,other,other,473,166.87,1,1.0,166.9
415,Stella Artois,,473,690.29,6,1.0,115.0
416,Patagonia,24.7,473,1032.0,6,1.0,172.0
417,Schneider,,473,109.0,1,1.0,109.0
418,Patagonia,Other,473,1029.75,6,1.0,171.6
419,other,other,473,1374.0,6,1.0,229.0
