,marca,subtipo,tamaño,precio,promo,precio_promo,pack,precio_final
94,none,none,other,114,1.0,114.0,1,114.0
95,none,none,other,165,1.0,165.0,1,165.0
96,none,none,other,114,1.0,114.0,1,114.0
97,none,none,other,114,1.0,114.0,1,114.0
98,none,none,other,254,1.0,254.0,1,254.0
99,Glaciar,Sin Gas,2000,75,1.0,75.0,1,75.0
100,Glaciar,Sin Gas,1500,81,1.0,81.0,1,81.0
101,Glaciar,Sin Gas,6.3,276,1.0,276.0,1,276.0
102,Glaciar,Sin Gas,500,80,1.0,80.0,1,80.0
103,Glaciar,Sin Gas,2000,197,1.0,197.0,1,197.0
104,Glaciar,Sin Gas,1000,103,1.0,103.0,1,103.0
105,Gatorade,Naranja,500,118,1.0,118.0,1,118.0
106,Gatorade,Cool Blue,500, 85,1.0,85.0,1,85.0
107,Gatorade,Cool Blue,1250,201,1.0,201.0,1,201.0
108,Gatorade,Frutas Tropi,500,118,1.0,118.0,1,118.0
109,Gatorade,Cool Blue,750,149,1.0,149.0,1,149.0
110,Gatorade,,500,118,1.0,118.0,1,118.0
111,Eco de los Andes,Sin Gas,2000,105,1.0,105.0,1,105.0
112,Eco de los Andes,Sin Gas,1500,70,1.0,70.0,1,70.0
113,Eco de los Andes,Sin Gas,500,65,1.0,65.0,1,65.0
114,Eco de los Andes,Con Gas,500,77,1.0,77.0,1,77.0
115,Dante Robino,,750,706,1.0,706.0,1,706.0
116,Dante Robino,,750,706,1.0,706.0,1,706.0
117,Novecento,,750,331,1.0,331.0,1,331.0
118,Novecento,Tinto Cabernet Sauvignon,750,331,1.0,331.0,1,331.0
119,Novecento,,750,451,1.0,451.0,1,451.0
120,Dante Robino,,other,514,1.0,514.0,1,514.0
121,Novecento,Raices Cabernet Sauvignon,750,451,1.0,451.0,1,451.0
122,none,none,1000,141,1.0,141.0,1,141.0
123,none,none,1000,163,1.0,163.0,1,163.0
124,none,none,1000,163,1.0,163.0,1,163.0
125,Corona,,330,171,1.0,171.0,1,171.0
126,Corona,,710,296,1.0,296.0,1,296.0
127,Corona,,269,1509,0.75,1131.75,10,113.18
128,none,none,other,78,1.0,78.0,1,78.0
129,none,none,1000, 449,1.0,449.0,1,449.0
130,none,none,2000,257,1.0,257.0,1,257.0
131,none,none,2000,257,1.0,257.0,1,257.0
132,none,none,2000,257,1.0,257.0,1,257.0
133,none,none,1000,1263,1.0,1263.0,6,210.5
