sku,marca,tamaño,subtipo,pack,coto_marca,coto_subtipo,disco_marca,disco_subtipo,vea_marca,vea_subtipo
2121,Quilmes,354,Clásica,6,quilmes,,quilmes,,quilmes,
2218,Quilmes,473,Clásica,6,quilmes,quilmes lata,quilmes,quilmes lata,quilmes,quilmes lata
13224,Quilmes,473,1890,1,quilmes,1890,quilmes,1890,quilmes,1890
16986,Quilmes,473,Bock,1,quilmes,bock,quilmes,bock,quilmes,bock
2121,Quilmes,354,Clásica,1,quilmes,quilmes cristal,quilmes,clasica,quilmes,clasica
2218,Quilmes,473,Clásica,1,quilmes,quilmes lata,quilmes,clásica,quilmes,clásica
19534,Quilmes,473,Red Lager,1,quilmes,red lager,quilmes,red lager,quilmes,red lager
19534,Quilmes,473,Red Lager,6,quilmes,red lager,quilmes,red lager,quilmes,red lager
13503,Quilmes,473,Stout,1,quilmes,stout,quilmes,stout,quilmes,stout
22383,Quilmes,473,0%,1,quilmes,sin alcohol,quilmes,0,quilmes,0
13503,Quilmes,473,Stout,6,quilmes,stout,quilmes,stout,quilmes,stout
22383,Quilmes,473,0%,6,quilmes,sin alcohol,quilmes,0,quilmes,0
15234,Stella Artois,473,,1,stella,cerveza stella,stella,cerveza rubia stella,stella,cerveza rubia stella
15234,Stella Artois,473,,6,stella,cerveza stella,stella,cerveza rubia stella,stella,cerveza rubia stella
22608,Stella Artois,473,Noire,1,stella,noire,stella,noire,stella,noire
22608,Stella Artois,473,Noire,6,stellla,noire,stellla,noire,stellla,noire
10576,Stella Artois,330,,1,stella,cerveza stella,stella,cerveza stella,stella,cerveza stella
19337,7up,1500,Normal,1,seven up,,7up,,7up,
19338,7up,2250,Normal,1,seven up,,7up,,7up,
19336,7up,500,Normal,1,seven up,,7up,,7up,
21971,7up,354,Normal,1,seven up,,7up,,7up,
7484,7up,1500,Sin Azúcar,1,seven up,sin azúcar,7up,sin azúcar,7up,sin azúcar
1427,7up,2250,Sin Azúcar,1,seven up,sin azúcar,7up,sin azúcar,7up,sin azúcar
1461,7up,500,Sin Azúcar,1,seven up,sin azúcar,7up,sin azúcar,7up,sin azúcar
5294,7up,354,Sin Azúcar,1,seven up,sin azúcar,7up,sin azúcar,7up,sin azúcar
19339,7up,3000,Normal,1,seven up,normal,7up,normal,7up,normal
7465,h2o,1500,Citrus,1,h2o,citrus,h2o,citrus,h2o,citrus
1659,h2o,2250,Citrus,1,h2o,citrus,h2o,citrus,h2o,citrus
1433,h2o,500,Citrus,1,h2o,citrus,h2o,citrus,h2o,citrus
7463,h2o,1500,Limoneto,1,h2o,limoneto,h2o,limoneto,h2o,limoneto
8067,h2o,2250,Limoneto,1,h2o,limoneto,h2o,limoneto,h2o,limoneto
8065,h2o,500,Limoneto,1,h2o,limoneto,h2o,limoneto,h2o,limoneto
7475,Paso De Los Toros,1500,Pomelo,1,paso de los toros,pomelo,paso de los toros,pomelo,paso de los toros,pomelo
1483,Paso De Los Toros,500,Pomelo,1,paso de los toros,paso de los toros botella,paso de los toros,paso de los toros botella,paso de los toros,paso de los toros botella
7476,Paso De Los Toros,1500,Tónica,1,paso de los toros,tónica,paso de los toros,tónica,paso de los toros,tónica
21699,Paso De Los Toros,269,Pomelo,1,paso de los toros,paso de los toros lata,paso de los toros,paso de los toros lata,paso de los toros,paso de los toros lata
21698,Paso De Los Toros,269,Tónica,1,paso de los toros,tonica,paso de los toros,tonica,paso de los toros,tonica
13952,Pepsi,354,Black,1,pepsi,zero,pepsi,zero,pepsi,zero
14191,Pepsi,1500,Black,1,pepsi,black,pepsi,black,pepsi,black
13950,Pepsi,2250,Black,1,pepsi,sin azúcar,pepsi,sin azúcar,pepsi,sin azúcar
13953,Pepsi,500,Black,1,pepsi,black,pepsi,black,pepsi,black
21967,Pepsi,354,Pet,1,pepsi,,pepsi,,pepsi,
19086,Pepsi,1500,Pet,1,pepsi,,pepsi,,pepsi,
19087,Pepsi,2250,Pet,1,pepsi,,pepsi,,pepsi,
21973,Pepsi,500,Pet,1,pepsi,,pepsi,,pepsi,
19089,Pepsi,3000,Pet,1,pepsi,,pepsi,,pepsi,
7478,Mirinda,1500,Naranja,1,mirinda,mirinda,mirinda,mirinda,mirinda,mirinda
citric,citric,1500,,1,citric,jugo c/pulpa naranja,citric,cosecha temprana,citric,cosecha temprana
citric,citric,1000,,1,citric,jugo c/pulpa naranja,citric,cosecha temprana,citric,cosecha temprana
22057,coco,0,Original ,1,coco,original,coco,original,coco,original
22062,coco,0,Coco,1,coco,coco,coco,coco,coco,coco
22064,coco,0,Vainilla,1,coco,vainilla,coco,vainilla,coco,vainilla
22467,Blasfemia,269,Tinto,1,blasfemia,tinto,blasfemia,tinto,blasfemia,tinto
22469,Blasfemia,269,Blanco Chenin,1,blasfemia,blanco chenin,blasfemia,blanco chenin,blasfemia,blanco chenin
22470,Blasfemia,269,Rosado,1,blasfemia,rosado,blasfemia,rosado,blasfemia,rosado
22454,Capriccio Dolceza,750,Blanco,1,capriccio dolceza,capriccio dolceza,capriccio dolceza,capriccio dolceza,capriccio dolceza,capriccio dolceza
22457,Dante Robino,750,Chardonnay,1,robino,chardonnay,robino,chardonnay,robino,chardonnay
22459,Dante Robino,750,Malbec,1,robino,vino malbec,robino,vino malbec,robino,vino malbec
22478,Dante Robino,750,Cabernet Sauvignon,1,robino,vino cabernet sauvignon,robino,vino cabernet sauvignon,robino,vino cabernet sauvignon
22458,Dante Robino,750,Extra Brut,1,robino,extra brut,robino,extra brut,robino,extra brut
22327,Novecento,750,Raices Cabernet Sauvignon,1,novecento ,cabernet sauvignon novecento reserva,novecento ,cabernet sauvignon novecento raíces,novecento ,cabernet sauvignon novecento raíces
22320,Novecento,750,Raices Chardonnay,1,novecento,chardonnay novecento reserva,novecento,chardonnay novecento raíces,novecento,chardonnay novecento raíces
22452,Novecento,750,Raices Malbec,1,novecento,malbec novecento reserva,novecento,malbec novecento reserva,novecento,malbec novecento reserva
22329,Novecento,750,Tinto Malbec,1,novecento,malbec novecento bot,novecento,malbec novecento ,novecento,malbec novecento 
22319,Novecento,750,Tinto Cabernet Sauvignon,1,novecento,cabernet sauvignon novecento bot,novecento,cabernet sauvignon novecento 750,novecento,cabernet sauvignon novecento 750
22321,Novecento,750,Blanco Chardonnay,1,novecento,blanco chardonnay,novecento,blanco chardonnay,novecento,blanco chardonnay
22464,Novecento,750,Espumante Extra Brut,1,novecento,extra brut,novecento,extra brut,novecento,extra brut
22328,Novecento,750,Espumante Extra Dulce,1,novecento,espumante extra dulce,novecento,espumante extra dulce,novecento,espumante extra dulce
VP15414,Portillo,750,Blanco Chardonnay,1,portillo,chardonnay,portillo,chardonnay,portillo,chardonnay
VP15411,Portillo,750,Tinto Cabernet Sauvignon,1,portillo,vino cabernet sauvignon,portillo,tinto cabernet sauvignon,portillo,tinto cabernet sauvignon
VP35411,Portillo,750,Tinto Malbec,1,portillo,vino malbec,portillo,tinto malbec,portillo,tinto malbec
VS35415,Salentein,750,Reserve Malbec,1,salentein,malbec salentein roble,salentein,tinto malbec,salentein,tinto malbec
VS654A1,Salentein,750,Espumante Extra Brut,1,salentein,champaña e/b,salentein,espumante extra brut,salentein,espumante extra brut
VS15414,Salentein,750,Chardonnay Reserva,1,salentein,chardon reserve,salentein,chardon reserve,salentein,chardon reserve
VC15413,Callia,750,Alta Cabernet Sauvignon,1,callia,vino cabernet sauvignon,callia,tinto cabernet sauvignon,callia,tinto cabernet sauvignon
VC15414,Callia,750,Alta Chardonnay,1,callia,vino chardon,callia,chardon,callia,chardon
VC35413,Callia,750,Alta Malbec,1,callia,vino malbec callia,callia,tinto malbec,callia,tinto malbec
