,Marca,Subtipo,Tamaño,Pack,Precio_ayer,Precio_hoy
5,Glaciar,Sin Gas,2000,1.0,60.0,86.6
30,Brahma,Clásica,473,1.0,111.0,104.7
36,Patagonia,Amber Lager,473,1.0,167.0,134.6
38,Patagonia,Bohemian Pilsener,730,1.0,264.0,180.7
69,Paso De Los Toros,Pomelo,1500,1.0,143.0,116.3
76,Pepsi,Black,2250,1.0,144.0,192.0
80,Pepsi,Pet,2250,1.0,194.0,144.0
