,Marca,Subtipo,Tamaño,Pack,Precio_ayer,Precio_hoy
17,Red Bull,Sin Azucar,250,1.0,115.0,125.0
25,Andes,IPA,473,6.0,83.33333333333333,98.62
26,Andes,Negra,473,6.0,83.0,98.62
27,Andes,Roja,473,6.0,83.0,98.62
28,Andes,Rubia,473,6.0,74.16666666666667,86.88
47,Quilmes,Clásica,473,1.0,63.0,70.0
52,Stella Artois,Noire,473,6.0,91.0,108.62
100,Novecento,Tinto Malbec,750,1.0,129.5,194.25
101,Novecento,Tinto Cabernet Sauvignon,750,1.0,129.0,194.25
